from,to,distance
335,196,0.924521
218,474,0.924418
737,719,0.924389
719,737,0.924389
717,785,0.924011
785,717,0.924011
338,774,0.924003
673,778,0.923930
367,1979,0.923732
1545,1533,0.923712
1533,1444,0.923712
1533,1545,0.923712
1444,1533,0.923712
754,669,0.923675
669,754,0.923675
191,1006,0.923549
1006,154,0.923549
1006,191,0.923549
154,1006,0.923549
1083,1586,0.923354
1586,1083,0.923354
1862,162,0.922711
162,1862,0.922711
123,95,0.922563
95,123,0.922563
1983,1909,0.922545
2117,2080,0.922524
2031,1441,0.922206
1441,2031,0.922206
1840,1894,0.922012
1894,1840,0.922012
1398,1338,0.921930
1525,1338,0.921930
1151,806,0.921845
806,1151,0.921845
2,198,0.921342
956,1719,0.921236
1719,956,0.921236
2086,2073,0.921156
2073,2086,0.921156
98,806,0.921120
806,98,0.921120
416,882,0.920999
882,416,0.920999
330,2117,0.920430
1713,122,0.920345
1713,131,0.920345
432,317,0.920330
673,1338,0.920320
1335,1481,0.919742
1335,1385,0.919742
1345,1331,0.919699
1331,1345,0.919699
696,955,0.919425
659,673,0.918980
2118,9,0.918829
772,2099,0.918787
2099,772,0.918787
1455,1425,0.918745
1425,1455,0.918745
257,555,0.918645
555,257,0.918645
2106,404,0.918570
404,2106,0.918570
1764,1813,0.918423
1813,1764,0.918423
794,732,0.918250
318,317,0.918155
717,707,0.918134
397,8,0.918133
8,397,0.918133
2116,350,0.918091
739,367,0.917988
2076,2062,0.917493
1654,279,0.917480
670,2029,0.917322
5,344,0.917182
2103,9,0.917002
1586,766,0.916834
766,1586,0.916834
368,5,0.916584
5,368,0.916584
2098,218,0.916538
772,2016,0.916479
311,137,0.915451
137,311,0.915451
1056,817,0.915441
817,1056,0.915441
2120,1676,0.915400
1676,2120,0.915400
217,311,0.915217
2047,1161,0.915202
369,10,0.915168
10,369,0.915168
1442,1441,0.915111
1441,1442,0.915111
1362,367,0.915097
776,1441,0.914737
518,214,0.914370
1769,1783,0.914248
1783,1769,0.914248
1616,236,0.914236
2140,367,0.914194
1072,914,0.913592
914,1072,0.913592
1432,58,0.913573
1442,137,0.913290
1798,217,0.913230
525,2123,0.913191
2123,525,0.913191
354,350,0.912835
1798,137,0.912738
1606,1178,0.912406
1178,1606,0.912406
3,531,0.912156
1503,1437,0.911707
1437,1503,0.911707
283,893,0.911628
893,283,0.911628
1361,992,0.911454
992,1361,0.911454
3,5,0.911401
819,2098,0.911400
2098,819,0.911400
1428,367,0.911377
741,772,0.911090
2055,1006,0.911069
617,336,0.910997
336,617,0.910997
2099,350,0.910982
670,1872,0.910975
395,370,0.910898
590,3,0.910655
759,1338,0.910646
1616,1557,0.910479
2024,857,0.910386
857,2024,0.910386
103,189,0.910202
189,103,0.910202
422,2109,0.910182
2109,422,0.910182
754,778,0.910119
395,531,0.910117
2049,2018,0.910082
478,2142,0.909647
2142,478,0.909647
739,2144,0.909460
2144,739,0.909460
2072,1682,0.909354
698,669,0.909329
27,1243,0.909198
1243,27,0.909198
1863,1816,0.909151
1816,1863,0.909151
780,1713,0.908978
1791,1661,0.908882
1642,1661,0.908882
197,157,0.908853
157,197,0.908853
2109,2138,0.908808
2138,2109,0.908808
335,2028,0.908778
874,835,0.908754
353,759,0.908528
2096,218,0.908429
27,15,0.908290
15,27,0.908290
353,661,0.907343
337,419,0.907278
419,337,0.907278
662,791,0.907200
791,662,0.907200
2116,2016,0.907084
269,294,0.907053
294,269,0.907053
364,1221,0.906935
635,893,0.906499
893,635,0.906499
832,283,0.906289
1990,1898,0.905975
363,2118,0.905888
696,672,0.905817
1883,2140,0.905541
2140,1883,0.905541
819,2103,0.905509
552,500,0.905324
850,336,0.905217
336,850,0.905217
1433,57,0.904998
518,9,0.904995
1390,1758,0.904825
1390,1694,0.904825
752,2031,0.904815
364,1684,0.904586
882,759,0.904529
832,635,0.904514
2158,893,0.904506
794,215,0.904321
8,2100,0.904295
2100,8,0.904295
1717,1713,0.903817
1641,1006,0.903786
1817,989,0.903708
2055,133,0.903682
133,2055,0.903682
2110,464,0.903658
464,2110,0.903658
752,2080,0.903521
489,502,0.903492
502,489,0.903492
310,2131,0.903387
2131,310,0.903387
1427,1347,0.903277
1461,1347,0.903277
1347,1427,0.903277
1347,1461,0.903277
1167,1719,0.903137
1719,1167,0.903137
864,1127,0.903037
1127,864,0.903037
1433,1469,0.902583
698,2144,0.902306
2144,698,0.902306
307,368,0.902153
890,989,0.902125
938,776,0.901879
776,938,0.901879
1845,1867,0.901716
423,215,0.901347
1037,1475,0.901330
476,310,0.901285
310,476,0.901285
588,257,0.901212
257,588,0.901212
1540,1487,0.901147
1813,1678,0.901142
1678,1813,0.901142
2058,871,0.900978
871,1896,0.900978
871,2058,0.900978
1896,871,0.900978
554,2016,0.900761
577,1297,0.900581
552,754,0.900438
984,2120,0.900382
2120,984,0.900382
1650,262,0.900278
7,779,0.900273
779,7,0.900273
1540,58,0.900033
