from,to,distance
1370,1397,1.000000
1366,1454,1.000000
1642,1791,1.000000
1366,1496,1.000000
1400,1346,1.000000
1346,1400,1.000000
973,1835,1.000000
935,1701,1.000000
1831,1070,1.000000
852,1860,1.000000
1397,1370,1.000000
1832,935,1.000000
1832,1739,1.000000
1832,1701,1.000000
1837,1773,1.000000
1791,1642,1.000000
1494,1401,1.000000
1773,1837,1.000000
1496,1454,1.000000
1496,1366,1.000000
1773,1988,1.000000
1835,973,1.000000
935,1739,1.000000
1780,1911,1.000000
1405,1526,1.000000
720,761,1.000000
1418,1480,1.000000
1443,1344,1.000000
761,720,1.000000
1399,1502,1.000000
1489,1438,1.000000
1438,1489,1.000000
1502,1399,1.000000
1512,1411,1.000000
298,142,1.000000
1480,1418,1.000000
1526,1405,1.000000
1489,1322,1.000000
1411,1512,1.000000
1438,1322,1.000000
244,97,1.000000
1770,1869,1.000000
1770,1688,1.000000
1688,1770,1.000000
142,298,1.000000
1688,1869,1.000000
1869,1770,1.000000
1818,1850,1.000000
1850,1818,1.000000
1822,1833,1.000000
1322,1489,1.000000
1322,1438,1.000000
1344,1443,1.000000
1869,1688,1.000000
97,244,1.000000
1833,1822,1.000000
2012,1646,1.000000
1741,733,1.000000
1784,1659,1.000000
1323,1469,1.000000
1453,1530,1.000000
1814,855,1.000000
853,2012,1.000000
853,733,1.000000
853,1646,1.000000
1622,355,1.000000
641,1646,1.000000
641,733,1.000000
641,2012,1.000000
1646,2012,1.000000
733,2012,1.000000
1646,733,1.000000
355,1622,1.000000
733,1646,1.000000
1469,1323,1.000000
2012,733,1.000000
1659,1784,1.000000
855,1814,1.000000
1553,1646,1.000000
1553,733,1.000000
1553,2012,1.000000
1065,2143,1.000000
1530,1453,1.000000
1741,2012,1.000000
1741,1646,1.000000
1313,1420,1.000000
75,52,1.000000
73,54,1.000000
73,51,1.000000
37,75,1.000000
1420,1313,1.000000
2143,1065,1.000000
51,73,1.000000
51,54,1.000000
52,37,1.000000
52,75,1.000000
54,51,1.000000
54,73,1.000000
37,52,1.000000
75,37,1.000000
1339,1449,1.000000
1527,1440,1.000000
1449,1509,1.000000
1339,1509,1.000000
1435,1524,1.000000
1413,1534,1.000000
1449,1339,1.000000
1509,1339,1.000000
1509,1449,1.000000
1440,1527,1.000000
1524,1435,1.000000
849,1772,1.000000
1772,849,1.000000
1534,1413,1.000000
1375,1474,1.000000
1457,1376,1.000000
1758,1694,1.000000
297,342,1.000000
342,297,1.000000
1474,1375,1.000000
1376,1457,1.000000
1694,1758,1.000000
1815,1754,0.999623
1882,1815,0.999623
1754,1815,0.999623
1815,1882,0.999623
82,1382,0.999621
1382,82,0.999621
1395,86,0.999508
86,1395,0.999508
1404,76,0.999357
76,1404,0.999357
1638,279,0.999345
279,1638,0.999345
1359,79,0.999269
79,1359,0.999269
332,823,0.999243
823,332,0.999243
1824,195,0.999211
195,1824,0.999211
868,547,0.999210
547,868,0.999210
1313,80,0.999124
1420,80,0.999124
80,1420,0.999124
80,1313,0.999124
283,635,0.999112
635,283,0.999112
1370,88,0.999074
88,1397,0.999074
88,1370,0.999074
1397,88,0.999074
1351,81,0.999032
1458,81,0.999032
81,1351,0.999032
81,1458,0.999032
1467,60,0.998979
40,1460,0.998979
60,1467,0.998979
1460,40,0.998979
60,1314,0.998979
1314,60,0.998979
1460,53,0.998979
53,1460,0.998979
426,101,0.998938
101,426,0.998938
1232,2143,0.998936
2143,1232,0.998936
1232,1065,0.998936
1065,1232,0.998936
162,1971,0.998891
1971,162,0.998891
126,1571,0.998858
1571,126,0.998858
1571,143,0.998858
143,1571,0.998858
155,1949,0.998803
1949,155,0.998803
2048,167,0.998800
167,2048,0.998800
1792,1812,0.998712
1812,1792,0.998712
33,1423,0.998620
33,1515,0.998620
1515,33,0.998620
1423,33,0.998620
1495,64,0.998610
1349,64,0.998610
64,1495,0.998610
64,1349,0.998610
1772,128,0.998547
128,1772,0.998547
849,128,0.998547
128,849,0.998547
1229,1158,0.998543
1158,1229,0.998543
85,1378,0.998498
1378,85,0.998498
